Date,Exchange rate
2016-03-24,1.11644
2016-03-25,1.11624
2016-03-27,1.11571
2016-03-28,1.12007
2016-03-29,1.12892
2016-03-30,1.13327
2016-03-31,1.13785
2016-04-01,1.13899
2016-04-03,1.13946
2016-04-04,1.13865
2016-04-05,1.13805
2016-04-06,1.14001
2016-04-07,1.13668
2016-04-08,1.1395
2016-04-10,1.14047
2016-04-11,1.14102
2016-04-12,1.13831
2016-04-13,1.12779
2016-04-14,1.12651
2016-04-15,1.12823
2016-04-17,1.12975
2016-04-18,1.13077
2016-04-19,1.13583
2016-04-20,1.13022
2016-04-21,1.12902
2016-04-22,1.12227
2016-04-24,1.12312
2016-04-25,1.12664
2016-04-26,1.12959
2016-04-27,1.13264
2016-04-28,1.13571
2016-04-29,1.14503
2016-05-01,1.14608
2016-05-02,1.15234
2016-05-03,1.15008
2016-05-04,1.1491
2016-05-05,1.14004
2016-05-06,1.14021
2016-05-08,1.13853
2016-05-09,1.13832
2016-05-10,1.1373
2016-05-11,1.1424
2016-05-12,1.13742
2016-05-13,1.13097
2016-05-15,1.13172
2016-05-16,1.13151
2016-05-17,1.1314
2016-05-18,1.12195
2016-05-19,1.12019
2016-05-20,1.12222
2016-05-22,1.12204
2016-05-23,1.12129
2016-05-24,1.11352
2016-05-25,1.11549
2016-05-26,1.11915
2016-05-27,1.11116
2016-05-29,1.11082
2016-05-30,1.11475
2016-05-31,1.1134
2016-06-01,1.11875
2016-06-02,1.11515
2016-06-03,1.13658
2016-06-05,1.13512
2016-06-06,1.13627
2016-06-07,1.13557
2016-06-08,1.14024
2016-06-09,1.13097
2016-06-10,1.12498
2016-06-12,1.12381
2016-06-13,1.12877
2016-06-14,1.12103
2016-06-15,1.12611
2016-06-16,1.12696
2016-06-17,1.12732
2016-06-19,1.13469
2016-06-20,1.13216
2016-06-21,1.12494
2016-06-22,1.13256
2016-06-23,1.13328
2016-06-24,1.10913
2016-06-26,1.10392
2016-06-27,1.10137
2016-06-28,1.10753
2016-06-29,1.1122
2016-06-30,1.1103
2016-07-01,1.11365
2016-07-03,1.11273
2016-07-04,1.11444
2016-07-05,1.10635
2016-07-06,1.10968
2016-07-07,1.10636
2016-07-08,1.10497
2016-07-10,1.10439
2016-07-11,1.10567
2016-07-12,1.106
2016-07-13,1.10949
2016-07-14,1.11062
2016-07-15,1.10295
2016-07-17,1.10558
2016-07-18,1.10682
2016-07-19,1.10135
2016-07-20,1.10163
2016-07-21,1.1032
2016-07-22,1.09754
2016-07-24,1.0969
2016-07-25,1.09891
2016-07-26,1.09871
2016-07-27,1.10671
2016-07-28,1.10825
2016-07-29,1.11726
2016-07-31,1.11671
2016-08-01,1.11669
2016-08-02,1.12178
2016-08-03,1.11501
2016-08-04,1.11347
2016-08-05,1.10854
2016-08-07,1.10869
2016-08-08,1.1085
2016-08-09,1.11176
2016-08-10,1.1185
2016-08-11,1.11382
2016-08-12,1.11621
2016-08-14,1.11641
2016-08-15,1.11818
2016-08-16,1.12759
2016-08-17,1.12989
2016-08-18,1.13475
2016-08-19,1.13216
2016-08-21,1.12977
2016-08-22,1.13172
2016-08-23,1.13016
2016-08-24,1.12609
2016-08-25,1.12865
2016-08-26,1.11951
2016-08-28,1.11974
2016-08-29,1.11904
2016-08-30,1.11498
2016-08-31,1.11562
2016-09-01,1.11985
2016-09-02,1.11539
2016-09-04,1.1158
2016-09-05,1.11504
2016-09-06,1.12457
2016-09-07,1.12381
2016-09-08,1.12684
2016-09-09,1.12318
2016-09-11,1.12406
2016-09-12,1.12404
2016-09-13,1.12191
2016-09-14,1.1245
2016-09-15,1.12468
2016-09-16,1.11509
2016-09-18,1.11577
2016-09-19,1.11771
2016-09-20,1.1153
2016-09-21,1.1189
2016-09-22,1.12081
2016-09-23,1.12237
2016-09-25,1.12373
2016-09-26,1.125
2016-09-27,1.1217
2016-09-28,1.12233
2016-09-29,1.12186
2016-09-30,1.12392
2016-10-02,1.12328
2016-10-03,1.12091
2016-10-04,1.12091
2016-10-05,1.12059
2016-10-06,1.11418
2016-10-07,1.11986
2016-10-09,1.11945
2016-10-10,1.11405
2016-10-11,1.10573
2016-10-12,1.10103
2016-10-13,1.10479
2016-10-14,1.09715
2016-10-16,1.09656
2016-10-17,1.10109
2016-10-18,1.09746
2016-10-19,1.09744
2016-10-20,1.09293
2016-10-21,1.08818
2016-10-23,1.088
2016-10-24,1.08729
2016-10-25,1.08861
2016-10-26,1.09095
2016-10-27,1.0897
2016-10-28,1.09824
2016-10-30,1.0982
2016-10-31,1.09707
2016-11-01,1.10553
2016-11-02,1.10939
2016-11-03,1.10995
2016-11-04,1.11378
2016-11-06,1.10945
2016-11-07,1.1049
2016-11-08,1.10177
2016-11-09,1.09196
2016-11-10,1.08873
2016-11-11,1.08516
2016-11-13,1.08226
2016-11-14,1.07455
2016-11-15,1.07244
2016-11-16,1.07062
2016-11-17,1.0622
2016-11-18,1.05866
2016-11-20,1.0583
2016-11-21,1.06374
2016-11-22,1.06332
2016-11-23,1.05419
2016-11-24,1.05601
2016-11-25,1.05901
2016-11-27,1.06091
2016-11-28,1.06189
2016-11-29,1.06472
2016-11-30,1.05903
2016-12-01,1.06621
2016-12-02,1.06632
2016-12-04,1.05675
2016-12-05,1.07564
2016-12-06,1.07186
2016-12-07,1.07592
2016-12-08,1.06211
2016-12-09,1.05591
2016-12-11,1.0546
2016-12-12,1.06421
2016-12-13,1.06274
2016-12-14,1.05121
2016-12-15,1.04167
2016-12-16,1.04483
2016-12-18,1.04466
2016-12-19,1.04027
2016-12-20,1.03906
2016-12-21,1.04263
2016-12-22,1.04378
2016-12-23,1.04532
2016-12-25,1.04523
2016-12-26,1.04538
2016-12-27,1.04614
2016-12-28,1.04143
2016-12-29,1.05658
2016-12-30,1.0515
2017-01-01,1.0523
2017-01-02,1.04575
2017-01-03,1.04174
2017-01-04,1.04971
2017-01-05,1.06039
2017-01-06,1.0529
2017-01-08,1.05294
2017-01-09,1.05858
2017-01-10,1.05522
2017-01-11,1.05941
2017-01-12,1.06162
2017-01-13,1.0642
2017-01-15,1.06272
2017-01-16,1.06022
2017-01-17,1.06966
2017-01-18,1.0628
2017-01-19,1.06591
2017-01-20,1.0699
2017-01-22,1.07126
2017-01-23,1.07591
2017-01-24,1.07281
2017-01-25,1.07525
2017-01-26,1.06834
2017-01-27,1.06958
2017-01-29,1.07169
2017-01-30,1.07075
2017-01-31,1.08008
2017-02-01,1.07653
2017-02-02,1.07617
2017-02-03,1.07818
2017-02-05,1.07824
2017-02-06,1.0743
2017-02-07,1.06788
2017-02-08,1.06913
2017-02-09,1.06572
2017-02-10,1.06397
2017-02-12,1.06187
2017-02-13,1.05987
2017-02-14,1.05782
2017-02-15,1.0603
2017-02-16,1.06712
2017-02-17,1.06114
2017-02-19,1.06251
2017-02-20,1.06088
2017-02-21,1.0541
2017-02-22,1.05505
