Time	Open	High	Low	Close	Volume
2025-12-12 03:49:00	1.17358	1.17362	1.17356	1.17361	25	6
2025-12-12 03:50:00	1.17361	1.17367	1.17361	1.17361	76	5
2025-12-12 03:51:00	1.17361	1.17361	1.17361	1.17361	1	6
2025-12-12 03:52:00	1.17362	1.17367	1.1736	1.17367	24	5
2025-12-12 03:53:00	1.17368	1.17369	1.17361	1.17363	68	5
2025-12-12 03:54:00	1.17362	1.17362	1.17355	1.17356	45	5
2025-12-12 03:55:00	1.17356	1.17357	1.17354	1.17357	53	6
2025-12-12 03:56:00	1.17358	1.17358	1.1735	1.17352	63	5
2025-12-12 03:57:00	1.17351	1.17353	1.17346	1.17348	82	3
2025-12-12 03:58:00	1.17348	1.17348	1.17344	1.17348	21	3
2025-12-12 03:59:00	1.17345	1.17345	1.1734	1.17342	94	5
2025-12-12 04:00:00	1.17342	1.17344	1.1734	1.1734	62	5
2025-12-12 04:01:00	1.17342	1.17342	1.17335	1.17336	45	5
2025-12-12 04:02:00	1.17336	1.17336	1.17328	1.17333	43	5
2025-12-12 04:03:00	1.17331	1.17332	1.1733	1.17331	4	4
2025-12-12 04:04:00	1.17332	1.17332	1.17324	1.17324	12	4
2025-12-12 04:05:00	1.17325	1.17327	1.17321	1.17325	24	5
2025-12-12 04:06:00	1.17328	1.1733	1.17325	1.1733	40	5
2025-12-12 04:07:00	1.17331	1.17332	1.17329	1.1733	16	4
2025-12-12 04:08:00	1.1733	1.17331	1.17329	1.1733	29	5
2025-12-12 04:09:00	1.1733	1.17332	1.17329	1.1733	25	5
2025-12-12 04:10:00	1.17332	1.17332	1.17326	1.17326	13	4
2025-12-12 04:11:00	1.17325	1.17327	1.17323	1.17323	36	4
2025-12-12 04:12:00	1.17324	1.17325	1.17319	1.1732	45	5
2025-12-12 04:13:00	1.1732	1.17323	1.17319	1.17321	34	4
2025-12-12 04:14:00	1.17319	1.17321	1.17317	1.17317	67	7
2025-12-12 04:15:00	1.17317	1.17317	1.17314	1.17315	13	5
2025-12-12 04:16:00	1.17316	1.17317	1.1731	1.17317	37	5
2025-12-12 04:17:00	1.17316	1.17317	1.17312	1.17317	81	5
2025-12-12 04:18:00	1.17316	1.17323	1.17315	1.1732	33	5
2025-12-12 04:19:00	1.17321	1.17325	1.17319	1.17323	40	5
2025-12-12 04:20:00	1.17324	1.17337	1.17322	1.17336	111	6
2025-12-12 04:21:00	1.17337	1.17338	1.17334	1.17334	26	5
2025-12-12 04:22:00	1.17335	1.17342	1.17335	1.17342	36	5
2025-12-12 04:23:00	1.17341	1.17343	1.17338	1.1734	35	4
2025-12-12 04:24:00	1.17341	1.17344	1.1734	1.17344	26	5
2025-12-12 04:25:00	1.17345	1.17345	1.1734	1.17342	23	5
2025-12-12 04:26:00	1.17344	1.17347	1.1734	1.17347	87	5
2025-12-12 04:27:00	1.17346	1.17347	1.17344	1.17346	44	6
2025-12-12 04:28:00	1.17346	1.17348	1.1734	1.17344	62	6
2025-12-12 04:29:00	1.17344	1.17347	1.17344	1.17346	16	5
2025-12-12 04:30:00	1.17345	1.17348	1.17345	1.17346	16	5
2025-12-12 04:31:00	1.17346	1.17355	1.17335	1.17335	132	5
2025-12-12 04:32:00	1.17336	1.17337	1.17333	1.17336	52	5
2025-12-12 04:33:00	1.17336	1.1734	1.17335	1.17335	55	5
2025-12-12 04:34:00	1.17335	1.17348	1.17335	1.17348	45	4
2025-12-12 04:35:00	1.17349	1.17353	1.17346	1.17346	14	3
2025-12-12 04:36:00	1.17345	1.17347	1.1734	1.17345	65	5
2025-12-12 04:37:00	1.17346	1.17346	1.17346	1.17346	2	6
2025-12-12 04:38:00	1.17351	1.17352	1.17346	1.17348	49	5
2025-12-12 04:39:00	1.17349	1.17352	1.17349	1.17351	36	5
2025-12-12 04:40:00	1.1735	1.17351	1.17349	1.17351	31	6
2025-12-12 04:41:00	1.1735	1.17351	1.17344	1.17346	69	5
2025-12-12 04:42:00	1.17346	1.17346	1.17345	1.17346	37	6
2025-12-12 04:43:00	1.17348	1.17351	1.17345	1.17345	81	5
2025-12-12 04:44:00	1.17345	1.17346	1.17342	1.17342	87	6
2025-12-12 04:45:00	1.17343	1.17351	1.17342	1.17351	40	6
2025-12-12 04:46:00	1.17351	1.17351	1.17344	1.17346	53	4
2025-12-12 04:47:00	1.17346	1.17347	1.17346	1.17346	9	3
2025-12-12 04:48:00	1.17345	1.17347	1.17341	1.17342	146	6
2025-12-12 04:49:00	1.17343	1.17347	1.17341	1.17347	35	6
2025-12-12 04:50:00	1.17346	1.17353	1.17346	1.17349	24	4
2025-12-12 04:51:00	1.1735	1.17353	1.17349	1.17352	21	4
2025-12-12 04:52:00	1.17351	1.17351	1.17345	1.17345	10	3
2025-12-12 04:53:00	1.17345	1.17348	1.17345	1.17347	4	3
2025-12-12 04:54:00	1.17349	1.17353	1.1734	1.1734	22	3
2025-12-12 04:55:00	1.17343	1.17343	1.17338	1.17339	10	2
2025-12-12 04:56:00	1.17338	1.17339	1.17333	1.17334	17	3
2025-12-12 04:57:00	1.17332	1.17334	1.17329	1.17332	56	6
2025-12-12 04:58:00	1.17331	1.17331	1.17322	1.17323	56	4
2025-12-12 04:59:00	1.17323	1.17323	1.17315	1.17317	22	4
2025-12-12 05:00:00	1.17317	1.17326	1.17315	1.17319	103	4
2025-12-12 05:01:00	1.17319	1.17325	1.17316	1.17323	79	4
2025-12-12 05:02:00	1.17325	1.17333	1.17323	1.17329	39	4
2025-12-12 05:03:00	1.17329	1.1734	1.17329	1.17338	27	3
2025-12-12 05:04:00	1.1734	1.17341	1.17335	1.17335	17	4
2025-12-12 05:05:00	1.17334	1.17335	1.17325	1.17326	33	4
2025-12-12 05:06:00	1.17327	1.17327	1.17323	1.17323	12	5
2025-12-12 05:07:00	1.17325	1.17325	1.17324	1.17324	12	4
2025-12-12 05:08:00	1.17325	1.17336	1.17325	1.17328	36	5
2025-12-12 05:09:00	1.17329	1.17329	1.17329	1.17329	2	5
2025-12-12 05:10:00	1.17328	1.17332	1.17327	1.1733	27	5
2025-12-12 05:11:00	1.1733	1.17333	1.17329	1.17331	16	6
2025-12-12 05:12:00	1.17332	1.17338	1.17332	1.17337	11	4
2025-12-12 05:13:00	1.17338	1.17341	1.17337	1.17341	11	4
2025-12-12 05:14:00	1.17342	1.17342	1.17342	1.17342	2	5
2025-12-12 05:15:00	1.17342	1.17345	1.17342	1.17345	14	4
2025-12-12 05:16:00	1.17348	1.17352	1.17348	1.1735	16	3
2025-12-12 05:17:00	1.17352	1.17356	1.17351	1.17353	11	3
2025-12-12 05:18:00	1.17351	1.17355	1.17351	1.17355	22	4
2025-12-12 05:19:00	1.17354	1.17354	1.1735	1.17351	8	3
2025-12-12 05:20:00	1.17351	1.17352	1.17351	1.17351	3	4
2025-12-12 05:22:00	1.17347	1.17347	1.17336	1.17343	25	3
2025-12-12 05:23:00	1.17341	1.17341	1.17335	1.17335	19	5
2025-12-12 05:24:00	1.17336	1.17338	1.17336	1.17336	19	3
2025-12-12 05:25:00	1.17337	1.17339	1.17337	1.17337	13	3
2025-12-12 05:26:00	1.17338	1.17343	1.17338	1.17343	4	2
2025-12-12 05:27:00	1.17343	1.17343	1.17343	1.17343	1	2
2025-12-12 05:28:00	1.17342	1.17342	1.17337	1.17339	12	3
2025-12-12 05:29:00	1.17338	1.17341	1.17338	1.1734	4	2
2025-12-12 05:30:00	1.17341	1.17343	1.17341	1.17341	10	4
2025-12-12 05:31:00	1.17342	1.17343	1.17341	1.17343	15	6
2025-12-12 05:32:00	1.17343	1.17347	1.1734	1.17347	33	5
2025-12-12 05:33:00	1.17349	1.17355	1.17347	1.17355	15	4
2025-12-12 05:34:00	1.17355	1.17357	1.17355	1.17357	3	3
2025-12-12 05:35:00	1.17354	1.17365	1.17354	1.17363	18	3
2025-12-12 05:36:00	1.17362	1.1737	1.17362	1.17364	29	3
2025-12-12 05:37:00	1.17364	1.17368	1.17362	1.17368	12	3
2025-12-12 05:38:00	1.17366	1.17366	1.17359	1.17359	33	4
2025-12-12 05:39:00	1.17362	1.17372	1.17362	1.17369	16	2
2025-12-12 05:40:00	1.17369	1.17369	1.17367	1.17367	32	6
2025-12-12 05:41:00	1.1737	1.17371	1.17367	1.17367	47	6
2025-12-12 05:42:00	1.17368	1.1737	1.17363	1.1737	17	4
2025-12-12 05:43:00	1.17368	1.1737	1.17368	1.1737	13	3
2025-12-12 05:44:00	1.17371	1.17372	1.17366	1.17366	17	2
2025-12-12 05:45:00	1.17365	1.17366	1.17358	1.17358	9	3
2025-12-12 05:46:00	1.17358	1.17364	1.17358	1.17364	10	3
2025-12-12 05:47:00	1.17363	1.17363	1.17359	1.17363	7	4
2025-12-12 05:48:00	1.17365	1.17367	1.17363	1.17366	12	4
2025-12-12 05:49:00	1.17367	1.17367	1.17367	1.17367	1	4
2025-12-12 05:50:00	1.17369	1.17373	1.17368	1.17373	16	2
2025-12-12 05:51:00	1.17371	1.17377	1.17371	1.17376	18	4
2025-12-12 05:52:00	1.17376	1.17382	1.17376	1.17382	16	4
2025-12-12 05:53:00	1.1738	1.17382	1.17379	1.17381	9	3
2025-12-12 05:54:00	1.1738	1.1738	1.17371	1.17371	11	3
2025-12-12 05:55:00	1.17372	1.17387	1.1737	1.17386	31	3
2025-12-12 05:56:00	1.17385	1.17393	1.17385	1.17391	21	3
2025-12-12 05:57:00	1.1739	1.17393	1.1739	1.17391	15	2
2025-12-12 05:58:00	1.17392	1.17392	1.17384	1.17391	41	3
2025-12-12 05:59:00	1.17389	1.1739	1.17383	1.17386	14	3
2025-12-12 06:00:00	1.17386	1.17395	1.17382	1.17392	32	3
2025-12-12 06:01:00	1.1739	1.17391	1.17388	1.17391	25	3
2025-12-12 06:02:00	1.1739	1.1739	1.17385	1.1739	23	3
2025-12-12 06:03:00	1.17389	1.17389	1.17381	1.17381	22	2
2025-12-12 06:04:00	1.1738	1.1738	1.17375	1.17375	14	3
2025-12-12 06:05:00	1.17374	1.17387	1.17373	1.17385	39	4
2025-12-12 06:06:00	1.17384	1.17396	1.17384	1.17395	12	3
2025-12-12 06:07:00	1.17397	1.17398	1.17395	1.17395	6	2
2025-12-12 06:08:00	1.17398	1.17401	1.17397	1.17401	9	4
2025-12-12 06:09:00	1.17402	1.17402	1.17395	1.17396	21	3
2025-12-12 06:10:00	1.17398	1.17404	1.17396	1.17402	39	3
2025-12-12 06:11:00	1.17403	1.17409	1.17403	1.17408	17	3
2025-12-12 06:12:00	1.17407	1.17418	1.17406	1.17415	25	3
2025-12-12 06:13:00	1.17417	1.17419	1.17403	1.17407	35	3
2025-12-12 06:14:00	1.17409	1.17409	1.17408	1.17408	3	2
2025-12-12 06:15:00	1.17405	1.17405	1.17398	1.17403	94	3
2025-12-12 06:16:00	1.17403	1.17403	1.17387	1.17387	33	3
