Date,US_2Y,DE_2Y,Spread
2016-03-24,0.89,-0.49,1.38
2016-03-29,0.78,-0.5,1.28
2016-03-30,0.76,-0.49,1.25
2016-03-31,0.73,-0.5,1.23
2016-04-01,0.76,-0.49,1.25
2016-04-04,0.75,-0.48,1.23
2016-04-05,0.72,-0.49,1.21
2016-04-06,0.73,-0.49,1.22
2016-04-07,0.7,-0.5,1.2
2016-04-08,0.7,-0.51,1.21
2016-04-11,0.7,-0.52,1.22
2016-04-12,0.74,-0.52,1.26
2016-04-13,0.75,-0.52,1.27
2016-04-14,0.77,-0.52,1.29
2016-04-15,0.74,-0.51,1.25
2016-04-18,0.75,-0.52,1.27
2016-04-19,0.77,-0.51,1.28
2016-04-20,0.8,-0.51,1.31
2016-04-21,0.82,-0.5,1.3199999999999998
2016-04-22,0.84,-0.5,1.3399999999999999
2016-04-25,0.85,-0.51,1.3599999999999999
2016-04-26,0.86,-0.5,1.3599999999999999
2016-04-27,0.83,-0.5,1.33
2016-04-28,0.78,-0.51,1.29
2016-04-29,0.77,-0.5,1.27
2016-05-02,0.8,-0.49,1.29
2016-05-03,0.75,-0.49,1.24
2016-05-04,0.75,-0.5,1.25
2016-05-05,0.72,-0.5,1.22
2016-05-06,0.74,-0.51,1.25
2016-05-09,0.72,-0.51,1.23
2016-05-10,0.72,-0.51,1.23
2016-05-11,0.74,-0.51,1.25
2016-05-12,0.76,-0.52,1.28
2016-05-13,0.76,-0.52,1.28
2016-05-17,0.82,-0.51,1.33
2016-05-18,0.9,-0.51,1.4100000000000001
2016-05-19,0.89,-0.5,1.3900000000000001
2016-05-20,0.89,-0.51,1.4
2016-05-23,0.91,-0.51,1.42
2016-05-24,0.92,-0.51,1.4300000000000002
2016-05-25,0.92,-0.51,1.4300000000000002
2016-05-26,0.87,-0.52,1.3900000000000001
2016-05-27,0.9,-0.52,1.42
2016-05-31,0.87,-0.51,1.38
2016-06-01,0.91,-0.52,1.4300000000000002
2016-06-02,0.89,-0.51,1.4
2016-06-03,0.78,-0.52,1.3
2016-06-06,0.8,-0.54,1.34
2016-06-07,0.78,-0.54,1.32
2016-06-08,0.78,-0.54,1.32
2016-06-09,0.77,-0.54,1.31
2016-06-10,0.73,-0.55,1.28
2016-06-13,0.73,-0.55,1.28
2016-06-14,0.74,-0.58,1.3199999999999998
